Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE4:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE4:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE4:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE4:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN LAB_PART1 (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN LAB_PART1 (01-01:31-12) JUL:Des Cool Mass Flow [kg/s]
00:30:00,4.527050E+03,0.000000E+00,2.572108E-01,0.000000E+00,7.620314E+03,0.000000E+00,4.329421E-01,0.000000E+00,1.022393E+04,0.000000E+00,5.808344E-01,0.000000E+00,6.179487E+03,0.000000E+00,3.510797E-01,0.000000E+00
01:00:00,4.515906E+03,0.000000E+00,2.565775E-01,0.000000E+00,7.602102E+03,0.000000E+00,4.319071E-01,0.000000E+00,1.019844E+04,0.000000E+00,5.793860E-01,0.000000E+00,6.164173E+03,0.000000E+00,3.502094E-01,0.000000E+00
01:30:00,4.516543E+03,0.000000E+00,2.566137E-01,0.000000E+00,7.603143E+03,0.000000E+00,4.319663E-01,0.000000E+00,1.019989E+04,0.000000E+00,5.794684E-01,0.000000E+00,6.165046E+03,0.000000E+00,3.502590E-01,0.000000E+00
02:00:00,4.517172E+03,0.000000E+00,2.566494E-01,0.000000E+00,7.604171E+03,0.000000E+00,4.320247E-01,0.000000E+00,1.020132E+04,0.000000E+00,5.795497E-01,0.000000E+00,6.165908E+03,0.000000E+00,3.503080E-01,0.000000E+00
02:30:00,4.517793E+03,0.000000E+00,2.566848E-01,0.000000E+00,7.605186E+03,0.000000E+00,4.320824E-01,0.000000E+00,1.020273E+04,0.000000E+00,5.796301E-01,0.000000E+00,6.166760E+03,0.000000E+00,3.503564E-01,0.000000E+00
03:00:00,4.518407E+03,0.000000E+00,2.567196E-01,0.000000E+00,7.606188E+03,0.000000E+00,4.321393E-01,0.000000E+00,1.020413E+04,0.000000E+00,5.797095E-01,0.000000E+00,6.167602E+03,0.000000E+00,3.504042E-01,0.000000E+00
03:30:00,4.519013E+03,0.000000E+00,2.567541E-01,0.000000E+00,7.607179E+03,0.000000E+00,4.321956E-01,0.000000E+00,1.020551E+04,0.000000E+00,5.797879E-01,0.000000E+00,6.168433E+03,0.000000E+00,3.504515E-01,0.000000E+00
04:00:00,4.519612E+03,0.000000E+00,2.567881E-01,0.000000E+00,7.608157E+03,0.000000E+00,4.322512E-01,0.000000E+00,1.020687E+04,0.000000E+00,5.798654E-01,0.000000E+00,6.169254E+03,0.000000E+00,3.504981E-01,0.000000E+00
04:30:00,4.520203E+03,0.000000E+00,2.568217E-01,0.000000E+00,7.609122E+03,4.350374E+02,4.323061E-01,3.145550E-02,1.020822E+04,0.000000E+00,5.799419E-01,0.000000E+00,6.170064E+03,0.000000E+00,3.505442E-01,0.000000E+00
05:00:00,4.520787E+03,0.000000E+00,2.568549E-01,0.000000E+00,7.610076E+03,4.777163E+02,4.323603E-01,3.470276E-02,1.020955E+04,0.000000E+00,5.800175E-01,0.000000E+00,6.170865E+03,0.000000E+00,3.505897E-01,0.000000E+00
