Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE4:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE4:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE4:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE4:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s]
00:30:00,4.485438E+03,0.000000E+00,2.548466E-01,0.000000E+00,7.405936E+03,0.000000E+00,4.207625E-01,0.000000E+00,1.015824E+04,0.000000E+00,5.771027E-01,0.000000E+00,6.130982E+03,0.000000E+00,3.483239E-01,0.000000E+00
01:00:00,4.474235E+03,0.000000E+00,2.542099E-01,0.000000E+00,7.387564E+03,0.000000E+00,4.197184E-01,0.000000E+00,1.013265E+04,0.000000E+00,5.756486E-01,0.000000E+00,6.115590E+03,0.000000E+00,3.474492E-01,0.000000E+00
01:30:00,4.474875E+03,0.000000E+00,2.542463E-01,0.000000E+00,7.388611E+03,0.000000E+00,4.197779E-01,0.000000E+00,1.013411E+04,0.000000E+00,5.757312E-01,0.000000E+00,6.116467E+03,0.000000E+00,3.474990E-01,0.000000E+00
02:00:00,4.475507E+03,0.000000E+00,2.542822E-01,0.000000E+00,7.389646E+03,0.000000E+00,4.198367E-01,0.000000E+00,1.013554E+04,0.000000E+00,5.758128E-01,0.000000E+00,6.117333E+03,0.000000E+00,3.475482E-01,0.000000E+00
02:30:00,4.476131E+03,0.000000E+00,2.543177E-01,0.000000E+00,7.390669E+03,0.000000E+00,4.198948E-01,0.000000E+00,1.013696E+04,0.000000E+00,5.758934E-01,0.000000E+00,6.118188E+03,0.000000E+00,3.475968E-01,0.000000E+00
03:00:00,4.476748E+03,0.000000E+00,2.543528E-01,0.000000E+00,7.391679E+03,0.000000E+00,4.199522E-01,0.000000E+00,1.013836E+04,0.000000E+00,5.759731E-01,0.000000E+00,6.119033E+03,0.000000E+00,3.476449E-01,0.000000E+00
03:30:00,4.477357E+03,0.000000E+00,2.543874E-01,0.000000E+00,7.392676E+03,0.000000E+00,4.200089E-01,0.000000E+00,1.013975E+04,0.000000E+00,5.760518E-01,0.000000E+00,6.119868E+03,0.000000E+00,3.476923E-01,0.000000E+00
04:00:00,4.477958E+03,0.000000E+00,2.544216E-01,0.000000E+00,7.393661E+03,0.000000E+00,4.200649E-01,0.000000E+00,1.014112E+04,0.000000E+00,5.761295E-01,0.000000E+00,6.120693E+03,0.000000E+00,3.477392E-01,0.000000E+00
04:30:00,4.478553E+03,0.000000E+00,2.544553E-01,0.000000E+00,7.394635E+03,4.463979E+02,4.201202E-01,3.224229E-02,1.014247E+04,0.000000E+00,5.762063E-01,0.000000E+00,6.121507E+03,0.000000E+00,3.477855E-01,0.000000E+00
05:00:00,4.479139E+03,0.000000E+00,2.544887E-01,0.000000E+00,7.395596E+03,4.962098E+02,4.201748E-01,3.603244E-02,1.014380E+04,0.000000E+00,5.762822E-01,0.000000E+00,6.122312E+03,0.000000E+00,3.478312E-01,0.000000E+00
05:30:00,4.479719E+03,0.000000E+00,2.545216E-01,0.000000E+00,7.396545E+03,3.600488E+02,4.202288E-01,2.720748E-02,1.014512E+04,0.000000E+00,5.763571E-01,0.000000E+00,6.123107E+03,0.000000E+00,3.478764E-01,0.000000E+00
06:00:00,4.480291E+03,0.000000E+00,2.545541E-01,0.000000E+00,7.397483E+03,5.100191E+02,4.202821E-01,3.849969E-02,1.014642E+04,0.000000E+00,5.764312E-01,0.000000E+00,6.123892E+03,0.000000E+00,3.479210E-01,0.000000E+00
06:30:00,4.480856E+03,0.000000E+00,2.545863E-01,0.000000E+00,7.398409E+03,2.043805E+03,4.203347E-01,1.543150E-01,1.014771E+04,0.000000E+00,5.765044E-01,0.000000E+00,6.124667E+03,0.000000E+00,3.479651E-01,0.000000E+00
07:00:00,4.481415E+03,0.000000E+00,2.546180E-01,0.000000E+00,7.399324E+03,4.154277E+03,4.203867E-01,3.137099E-01,1.014898E+04,0.000000E+00,5.765766E-01,0.000000E+00,6.125433E+03,0.000000E+00,3.480086E-01,0.000000E+00
07:30:00,4.481966E+03,0.000000E+00,2.546493E-01,0.000000E+00,7.400227E+03,5.526113E+03,4.204381E-01,4.173469E-01,1.015024E+04,0.000000E+00,5.766480E-01,0.000000E+00,6.126190E+03,0.000000E+00,3.480516E-01,0.000000E+00
08:00:00,4.482510E+03,1.207747E+02,2.546803E-01,9.190897E-03,7.401120E+03,7.297425E+03,4.204888E-01,5.513071E-01,1.015148E+04,4.896544E+01,5.767185E-01,3.777801E-03,6.126937E+03,2.977567E+01,3.480940E-01,2.295740E-03
08:30:00,4.483048E+03,6.605945E+02,2.547108E-01,4.994635E-02,7.402001E+03,9.132748E+03,4.205389E-01,6.901331E-01,1.015271E+04,1.109738E+03,5.767882E-01,8.384860E-02,6.127675E+03,6.523818E+02,3.481360E-01,4.929223E-02
09:00:00,4.483579E+03,1.089131E+03,2.547410E-01,8.225183E-02,7.402872E+03,1.026482E+04,4.205883E-01,7.761684E-01,1.015392E+04,2.185320E+03,5.768570E-01,1.650241E-01,6.128404E+03,1.283172E+03,3.481774E-01,9.689805E-02
09:30:00,4.484104E+03,5.493112E+02,2.547708E-01,4.149638E-02,7.403732E+03,5.213637E+03,4.206372E-01,3.944728E-01,1.015511E+04,1.124547E+03,5.769250E-01,8.495333E-02,6.129124E+03,6.605655E+02,3.482184E-01,4.990156E-02
10:00:00,4.484622E+03,0.000000E+00,2.548002E-01,0.000000E+00,7.404581E+03,0.000000E+00,4.206855E-01,0.000000E+00,1.015630E+04,0.000000E+00,5.769922E-01,0.000000E+00,6.129836E+03,0.000000E+00,3.482588E-01,0.000000E+00
10:30:00,4.485133E+03,0.000000E+00,2.548293E-01,0.000000E+00,7.405420E+03,0.000000E+00,4.207331E-01,0.000000E+00,1.015746E+04,0.000000E+00,5.770586E-01,0.000000E+00,6.130538E+03,0.000000E+00,3.482987E-01,0.000000E+00
11:00:00,4.485639E+03,0.000000E+00,2.548580E-01,0.000000E+00,7.406248E+03,0.000000E+00,4.207802E-01,0.000000E+00,1.015862E+04,0.000000E+00,5.771241E-01,0.000000E+00,6.131232E+03,0.000000E+00,3.483381E-01,0.000000E+00
11:30:00,4.486137E+03,0.000000E+00,2.548864E-01,0.000000E+00,7.407066E+03,0.000000E+00,4.208267E-01,0.000000E+00,1.015976E+04,0.000000E+00,5.771888E-01,0.000000E+00,6.131918E+03,0.000000E+00,3.483771E-01,0.000000E+00
12:00:00,4.486630E+03,0.000000E+00,2.549144E-01,0.000000E+00,7.407874E+03,0.000000E+00,4.208726E-01,0.000000E+00,1.016088E+04,0.000000E+00,5.772528E-01,0.000000E+00,6.132595E+03,0.000000E+00,3.484156E-01,0.000000E+00
12:30:00,4.487117E+03,0.000000E+00,2.549421E-01,0.000000E+00,7.408672E+03,0.000000E+00,4.209180E-01,0.000000E+00,1.016199E+04,0.000000E+00,5.773160E-01,0.000000E+00,6.133263E+03,0.000000E+00,3.484536E-01,0.000000E+00
13:00:00,4.487598E+03,0.000000E+00,2.549694E-01,0.000000E+00,7.409461E+03,0.000000E+00,4.209628E-01,0.000000E+00,1.016309E+04,0.000000E+00,5.773784E-01,0.000000E+00,6.133924E+03,0.000000E+00,3.484911E-01,0.000000E+00
13:30:00,4.488072E+03,0.000000E+00,2.549963E-01,0.000000E+00,7.410239E+03,0.000000E+00,4.210070E-01,0.000000E+00,1.016418E+04,0.000000E+00,5.774401E-01,0.000000E+00,6.134576E+03,0.000000E+00,3.485282E-01,0.000000E+00
14:00:00,4.488541E+03,0.000000E+00,2.550230E-01,0.000000E+00,7.411008E+03,0.000000E+00,4.210507E-01,0.000000E+00,1.016525E+04,0.000000E+00,5.775010E-01,0.000000E+00,6.135221E+03,0.000000E+00,3.485648E-01,0.000000E+00
14:30:00,4.489004E+03,1.882859E+03,2.550493E-01,1.278014E-01,7.411768E+03,0.000000E+00,4.210939E-01,0.000000E+00,1.016631E+04,4.372084E+03,5.775611E-01,2.944467E-01,6.135857E+03,2.517255E+03,3.486010E-01,1.708074E-01
15:00:00,4.489461E+03,2.392037E+03,2.550753E-01,1.662412E-01,7.412518E+03,0.000000E+00,4.211365E-01,0.000000E+00,1.016735E+04,5.294884E+03,5.776206E-01,3.641119E-01,6.136486E+03,3.106605E+03,3.486367E-01,2.152993E-01
15:30:00,4.489912E+03,1.792378E+03,2.551009E-01,1.353301E-01,7.413258E+03,0.000000E+00,4.211786E-01,0.000000E+00,1.016839E+04,3.804087E+03,5.776793E-01,2.872087E-01,6.137107E+03,2.270251E+03,3.486720E-01,1.714063E-01
