Time,BLOCK1:ZONE3:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE3:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE1:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE4:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE4:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE4:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE4:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Sens Cool Load [W],BLOCK1:ZONE2:WINTER DESIGN DAY IN LAB_PART1 (O1-O1:31-12):Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN LAB_PART1 (O1-O1:31-12) AUG:Des Cool Mass Flow [kg/s]
00:30:00,5.217110E+03,0.000000E+00,2.964213E-01,0.000000E+00,8.886014E+03,0.000000E+00,5.048580E-01,0.000000E+00,1.171603E+04,0.000000E+00,6.656142E-01,0.000000E+00,7.102613E+03,0.000000E+00,4.035319E-01,0.000000E+00
01:00:00,5.206464E+03,0.000000E+00,2.958164E-01,0.000000E+00,8.868620E+03,0.000000E+00,5.038697E-01,0.000000E+00,1.169155E+04,0.000000E+00,6.642232E-01,0.000000E+00,7.087940E+03,0.000000E+00,4.026982E-01,0.000000E+00
01:30:00,5.207079E+03,0.000000E+00,2.958514E-01,0.000000E+00,8.869626E+03,0.000000E+00,5.039268E-01,0.000000E+00,1.169296E+04,0.000000E+00,6.643033E-01,0.000000E+00,7.088786E+03,0.000000E+00,4.027462E-01,0.000000E+00
02:00:00,5.207686E+03,0.000000E+00,2.958859E-01,0.000000E+00,8.870618E+03,0.000000E+00,5.039832E-01,0.000000E+00,1.169435E+04,0.000000E+00,6.643823E-01,0.000000E+00,7.089621E+03,0.000000E+00,4.027937E-01,0.000000E+00
02:30:00,5.208286E+03,0.000000E+00,2.959199E-01,0.000000E+00,8.871598E+03,0.000000E+00,5.040389E-01,0.000000E+00,1.169572E+04,0.000000E+00,6.644603E-01,0.000000E+00,7.090446E+03,0.000000E+00,4.028406E-01,0.000000E+00
03:00:00,5.208878E+03,0.000000E+00,2.959536E-01,0.000000E+00,8.872564E+03,0.000000E+00,5.040938E-01,0.000000E+00,1.169708E+04,0.000000E+00,6.645374E-01,0.000000E+00,7.091260E+03,0.000000E+00,4.028868E-01,0.000000E+00
03:30:00,5.209462E+03,0.000000E+00,2.959867E-01,0.000000E+00,8.873519E+03,0.000000E+00,5.041480E-01,0.000000E+00,1.169842E+04,0.000000E+00,6.646134E-01,0.000000E+00,7.092064E+03,0.000000E+00,4.029325E-01,0.000000E+00
04:00:00,5.210038E+03,0.000000E+00,2.960195E-01,0.000000E+00,8.874461E+03,0.000000E+00,5.042016E-01,0.000000E+00,1.169974E+04,0.000000E+00,6.646885E-01,0.000000E+00,7.092857E+03,0.000000E+00,4.029776E-01,0.000000E+00
04:30:00,5.210607E+03,0.000000E+00,2.960518E-01,0.000000E+00,8.875391E+03,3.504087E+02,5.042544E-01,2.553007E-02,1.170104E+04,0.000000E+00,6.647626E-01,0.000000E+00,7.093640E+03,0.000000E+00,4.030221E-01,0.000000E+00
05:00:00,5.211169E+03,0.000000E+00,2.960838E-01,0.000000E+00,8.876309E+03,3.504087E+02,5.043066E-01,2.553007E-02,1.170233E+04,0.000000E+00,6.648358E-01,0.000000E+00,7.094413E+03,0.000000E+00,4.030660E-01,0.000000E+00
05:30:00,5.211723E+03,0.000000E+00,2.961153E-01,0.000000E+00,8.877215E+03,1.809787E+02,5.043581E-01,1.368028E-02,1.170360E+04,0.000000E+00,6.649081E-01,0.000000E+00,7.095177E+03,0.000000E+00,4.031094E-01,0.000000E+00
06:00:00,5.212271E+03,0.000000E+00,2.961464E-01,0.000000E+00,8.878109E+03,3.103783E+02,5.044089E-01,2.344852E-02,1.170486E+04,0.000000E+00,6.649794E-01,0.000000E+00,7.095930E+03,0.000000E+00,4.031522E-01,0.000000E+00
06:30:00,5.212811E+03,0.000000E+00,2.961771E-01,0.000000E+00,8.878992E+03,1.928302E+03,5.044590E-01,1.455920E-01,1.170610E+04,0.000000E+00,6.650498E-01,0.000000E+00,7.096674E+03,0.000000E+00,4.031944E-01,0.000000E+00
07:00:00,5.213344E+03,0.000000E+00,2.962074E-01,0.000000E+00,8.879863E+03,4.121981E+03,5.045085E-01,3.112714E-01,1.170732E+04,0.000000E+00,6.651194E-01,0.000000E+00,7.097408E+03,0.000000E+00,4.032362E-01,0.000000E+00
07:30:00,5.213871E+03,0.000000E+00,2.962373E-01,0.000000E+00,8.880723E+03,5.614228E+03,5.045574E-01,4.240917E-01,1.170853E+04,0.000000E+00,6.651880E-01,0.000000E+00,7.098133E+03,0.000000E+00,4.032773E-01,0.000000E+00
